publicationid,pubtypeid,year,citation,articletitle,journal,volume,issue,pages,citationnumber,doi,booktitle,numvolumes,edition,volumetitle,seriestitle,seriesvolume,publisher,url,city,state,country,originallanguage,notes,recdatecreated,recdatemodified
7729,5,1973,"Rynders, T.S. 1973. A late Wisconsin buried peat pollen profile from the Valley Heads region at South Dansville, New York. Master''s thesis. State University of New York, Brockport, New York, USA.","A late Wisconsin buried peat pollen profile from the Valley Heads region at South Dansville, New York",,,,,,,,,,,,,State University of New York,,Brockport,New York,USA,,,2015-02-04 01:02:38,2015-02-04 01:02:38
7730,1,1998,"Vierling, L.A. 1998. Palynological evidence for late- and postglacial environmental change in Central Colorado. Quaternary Research 49:222-232.",Palynological evidence for late- and postglacial environmental change in Central Colorado,Quaternary Research,49,,222-232,,,,,,,,,,,,,,,,2015-02-05 00:45:39,2015-02-05 00:45:39
7732,0,2004,"Cowell, D., P. Karrow, and J. McAndrews. 2004.",,,,,,,,,,,,,,,,,,,,,2015-02-05 01:27:58,2015-02-05 01:27:58
7733,7,1963,"Karrow, P.F. 1963. Pleistocene geology of the Hamilton-Galt area. Geological Report 16, Ontario Department of Mines, Ottawa, Ontario, Canada.",Pleistocene geology of the Hamilton-Galt area,,,,,,,,,,,Geological Report,16,Ontario Department of Mines,,Ottawa,Ontario,Canada,,,2015-02-05 01:29:03,2015-02-05 01:29:03
7734,1,2003,"Matheus, P., J. Beget, O. Mason, and C. Gelvin-Reymiller. 2003. Late Pliocene to late Pleistocene environments preserved at the Palisades Site, central Yukon River, Alaska. Quaternary Research 60:33-43. [DOI: 10.1016/S0033-5894(03)00091-7]","Late Pliocene to late Pleistocene environments preserved at the Palisades Site, central Yukon River, Alaska",Quaternary Research,60,,33-43,,10.1016/S0033-5894(03)00091-7,,,,,,,,,,,,,,2015-02-05 18:08:32,2015-02-05 18:08:32
7735,1,2000,"Ashworth, A.C. 2000. The ecology of Helophorus Arcticus Brown (Coleoptera: Hydrophilidae) reconsidered. The Coleopterists Bulletin 54(3):370-378.",The ecology of Helophorus Arcticus Brown (Coleoptera: Hydrophilidae) reconsidered,The Coleopterists Bulletin,54,3,370-378,,,,,,,,,,,,,,,,2015-02-05 21:12:04,2017-08-21 21:45:56
7737,1,2005,"Willard, D.A., C.E. Bernhardt, D.A. Korejwo, and S.R. Meyers. 2005. Impact of millennial-scale Holocene climate variability on eastern North American terrestrial ecosystems: pollen-based climatic reconstruction. Global and Planetary Change 47(1):17-35.",Impact of millennial-scale Holocene climate variability on eastern North American terrestrial ecosystems: pollen-based climatic reconstruction,Global and Planetary Change,47,1,17-35,,,,,,,,,,,,,,,,2015-02-05 23:09:30,2015-02-05 23:09:30
7738,1,2001,"Bennett, J.R., B.F. Cumming, P.R. Leavitt, M. Chiu, J.P. Smol, and J. Szeicz. 2001. Diatom, pollen, and chemical evidence of postglacial climatic change at Big Lake, south-central British Columbia, Canada. Quaternary Research 55:332-343.","Diatom, pollen, and chemical evidence of postglacial climatic change at Big Lake, south-central British Columbia, Canada",Quaternary Research,55,,332-343,,,,,,,,,,,,,,,,2015-02-10 00:38:41,2015-02-10 00:38:41
7739,1,2011,"Albert, B.M. 2011. Acidification and pine expansion in East Texas according to pollen evidence from dual cores in alluvium. Castanea 76(2):164-177.",Acidification and pine expansion in East Texas according to pollen evidence from dual cores in alluvium,Castanea,76,2,164-177,,,,,,,,,,,,,,,,2015-02-10 21:43:13,2015-02-10 21:43:13
7740,5,2002,"Rosenberg, S.M. 2002. Holocene palaeoenvironmental records from two subalpine lakes in southern British Columbia, based on Chironomid and pollen analysis. Master''s thesis. Simon Fraser University, Burnaby, British Columbia, Canada.","Holocene palaeoenvironmental records from two subalpine lakes in southern British Columbia, based on Chironomid and pollen analysis",,,,,,,,,,,,,Simon Fraser University,,Burnaby,British Columbia,Canada,,,2015-02-13 02:42:29,2015-02-13 02:42:29
7741,1,2003,"Rosenberg, S.M., I.R. Walker, and R.W. Mathewes. 2003. Postglacial spread of hemlock (Tsuga) and vegetation history in Mount Revelstoke National Park, British Columbia, Canada. Canadian Journal of Botany 81:139-151.","Postglacial spread of hemlock (Tsuga) and vegetation history in Mount Revelstoke National Park, British Columbia, Canada",Canadian Journal of Botany,81,,139-151,,,,,,,,,,,,,,,,2015-02-13 02:42:52,2015-02-13 02:42:52
7742,1,2004,"Rosenberg, S.M., I.R. Walker, and R.W. Mathewes. 2004. Midge-inferred Holocene climate history of two subalpine lakes in British Columbia, Canada. The Holocene 14(2):258-271.","Midge-inferred Holocene climate history of two subalpine lakes in British Columbia, Canada",The Holocene,14,2,258-271,,,,,,,,,,,,,,,,2015-02-13 02:43:14,2015-02-13 02:43:14
7743,1,1976,"Puckette, W.L. 1976. Notes on the occurrence of the short-faced bear (Arctodus) in Oklahoma. Proceedings of the Oklahoma Academy of Science 56:67-68.",Notes on the occurrence of the short-faced bear (Arctodus) in Oklahoma,Proceedings of the Oklahoma Academy of Science,56,,67-68,,,,,,,,,,,,,,,,2015-02-13 22:29:13,2015-02-13 22:29:13
7744,7,1984,"Futyma, R.P. 1984. Paleobotanical studies at Indiana Dunes National Lakeshore. Unpublished report, National Park Service.",Paleobotanical studies at Indiana Dunes National Lakeshore,,,,,,,,,,,Unpublished report,,National Park Service,,,,,,,2015-02-13 23:08:10,2015-02-13 23:08:10
7745,2,2009,"Grady, F., and D.A. Hubbard, Jr. 2009. Fossil mammals from Island Ford Cave, Virginia, USA. Pages 86-89 in W.B. White, editor. Symposia. Proceedings, 15th International Congress of Speleology 1. International Union of Speleology.","Fossil mammals from Island Ford Cave, Virginia, USA",,,,86-89,,,,,,Symposia,"Proceedings, 15th International Congress of Speleology",1,International Union of Speleology,,,,,,,2015-02-13 23:42:45,2015-02-13 23:42:45
7746,1,2005,"Fairbanks, R.G., R.A. Mortlock, T.-C. Chiu, L. Cao, A. Kaplan, T.P. Guilderson, T.W. Fairbanks, A.L. Bloom, P.M. Grootes, and M.-J. Nadeau. 2005. Radiocarbon calibration curve spanning 0 to 50,000 years BP based on paired 230Th/234U/238U and 14C dates on pristine corals. Quaternary Science Reviews 24(16-17):1781-1796. [DOI: 10.1016/j.quascirev.2005.04.007]","Radiocarbon calibration curve spanning 0 to 50,000 years BP based on paired 230Th/234U/238U and 14C dates on pristine corals",Quaternary Science Reviews,24,16-17,1781-1796,,10.1016/j.quascirev.2005.04.007,,,,,,,,,,,,,,2015-02-16 00:16:32,2015-02-16 00:16:32
7747,1,2009,"Hillyer, R., B.G. Valencia, M.B. Bush, M.R. Silman, and M. Steinitz-Kannan. 2009. A 24,700-yr paleolimnological history from the Peruvian Andes. Quaternary Research 71(1):71-82. [DOI: 10.1016/j.yqres.2008.06.006]","A 24,700-yr paleolimnological history from the Peruvian Andes",Quaternary Research,71,1,71-82,,10.1016/j.yqres.2008.06.006,,,,,,,,,,,,,,2015-02-16 01:45:09,2015-02-16 01:45:09
7748,1,2010,"Valencia, B.G., D.H. Urrego, M.R. Silman, and M.B. Bush. 2010. From ice age to modern: a record of landscape change in an Andean cloud forest. Journal of Biogeography 37(9):1637-1647. [DOI: 10.1111/j.1365-2699.2010.02318.x]",From ice age to modern: a record of landscape change in an Andean cloud forest,Journal of Biogeography,37,9,1637-1647,,10.1111/j.1365-2699.2010.02318.x,,,,,,,,,,,,,,2015-02-16 01:46:38,2015-02-16 01:46:38
7749,1,2004,"Ramsey, C.L., P.A. Griffiths, D.W. Fedje, R.J. Wigen, and Q. Mackie. 2004. Preliminary investigation of a late Wisconsinan fauna from K1 cave, Queen Charlotte Islands (Haida Gwaii), Canada. Quaternary Research 62:105-109. [DOI: 10.1016/j.yqres.2004.05.003]","Preliminary investigation of a late Wisconsinan fauna from K1 cave, Queen Charlotte Islands (Haida Gwaii), Canada",Quaternary Research,62,,105-109,,10.1016/j.yqres.2004.05.003,,,,,,,,,,,,,,2015-02-16 14:30:59,2015-02-16 14:30:59
7750,1,2012,"Restrepo, A., P. Colinvaux, M. Bush, A. Correa-Metrio, J. Conroy, M.R. Gardener, P. Jaramillo, M. Steinitz-Kannan, and J. Overpeck. 2012. Impacts of climate variability and human colonization on the vegetation of the Galapagos Islands. Ecology 93(8):1853-1866. [DOI: 10.1890/11-1545.1]",Impacts of climate variability and human colonization on the vegetation of the Galapagos Islands,Ecology,93,8,1853-1866,,10.1890/11-1545.1,,,,,,,,,,,,,,2015-02-16 23:36:07,2015-02-16 23:36:07
10418,1,1935,"Selle, W. 1935. Das Torfmoor bei Rieseberg. Jahresbericht des Vereins für Naturwissenschaft zu Braunschweig 23:46-58.",Das Torfmoor bei Rieseberg,Jahresbericht des Vereins für Naturwissenschaft zu Braunschweig,23,,46-58,,,,,,,,,,,,,,,,2017-11-10 08:01:15,2017-11-10 08:01:15
7751,1,2008,"Conroy, J.L., J.T. Overpeck, J.E. Cole, T.M. Shanahan, and M. Steinitz-Kannan. 2008. Holocene changes in eastern tropical Pacific climate inferred from a Galápagos lake sediment record. Quaternary Science Reviews 27(11-12):1166-1180. [DOI: 10.1016/j.quascirev.2008.02.015]",Holocene changes in eastern tropical Pacific climate inferred from a Galápagos lake sediment record,Quaternary Science Reviews,27,11-12,1166-1180,,10.1016/j.quascirev.2008.02.015,,,,,,,,,,,,,,2015-02-17 22:45:10,2015-02-17 22:45:10
7752,1,1979,"Dyck, W., and J.G. Fyles. 1979. New Data on an Interglacial Peat Deposit Near Makinson Inlet, Ellesmere Island, District of Franklin. in Current Research, Part A, Geol. Surv.Can.:157-164.","New Data on an Interglacial Peat Deposit Near Makinson Inlet, Ellesmere Island, District of Franklin","in Current Research, Part A, Geol. Surv.Can.",,,157-164,,,,,,,,,,,,,,,,2015-02-18 20:29:07,2015-06-19 19:43:49
7753,1,1979,"Blake, W.,. 1979. New Data on an Interglacial Peat Deposit Near Makinson Inlet, Ellesmere Island, District of Franklin. in Current Research, Part A, Geol. Surv.Can.:157-164.","New Data on an Interglacial Peat Deposit Near Makinson Inlet, Ellesmere Island, District of Franklin","in Current Research, Part A, Geol. Surv.Can.",,,157-164,,,,,,,,,,,,,,,,2015-02-18 20:31:39,2015-06-19 19:43:19
7754,1,1995,"Carrara, P.E. 1995. A 12000 Year Radiocarbon Date of Deglaciation from the Continental Divide of Northwestern Montana. Canada Journal of Earth Sciences 32:1303-1307.",A 12000 Year Radiocarbon Date of Deglaciation from the Continental Divide of Northwestern Montana.,Canada Journal of Earth Sciences,32,,1303-1307,,,,,,,,,,,,,,,,2015-02-23 19:16:21,2015-06-19 20:02:31
7755,1,1993,"Markgraf, V. 1993. Younger Dryas in southernmost South America —- an update. Quaternary Science Reviews 12(5):351-355. [DOI: 10.1016/0277-3791(93)90043-L]",Younger Dryas in southernmost South America —- an update,Quaternary Science Reviews,12,5,351-355,,10.1016/0277-3791(93)90043-L,,,,,,,,,,,,,,2015-02-23 21:26:26,2015-02-23 21:26:26
7756,2,1997,"Markgraf, V., and R. Kenny. 1997. Character of rapid vegetation and climate change during the late glacial in southernmost South America. Pages 81-90 in Past and future rapid environmental changes: the spatial and evolutionary responses of terrestrial biota. Springer, Berlin, Germany.",Character of rapid vegetation and climate change during the late glacial in southernmost South America,,,,81-90,,,Past and future rapid environmental changes: the spatial and evolutionary responses of terrestrial biota,,,,,,Springer,,Berlin,,Germany,,,2015-02-23 21:31:57,2015-02-23 21:31:57
7757,1,2001,"Pendall, E., V. Markgraf, J.W.C. White, and M. Dreier. 2001. Multiproxy record of late Pleistocene - Holocene climate and vegetation changes from a peat bog in Patagonia. Quaternary Research 55(2):168-178. [DOI: 10.1006/qres.2000.2206]",Multiproxy record of late Pleistocene - Holocene climate and vegetation changes from a peat bog in Patagonia,Quaternary Research,55,2,168-178,,10.1006/qres.2000.2206,,,,,,,,,,,,,,2015-02-23 22:41:04,2015-02-23 22:41:04
7758,1,2004,"Huber, U.M., V. Markgraf, and F. Schäbitz. 2004. Geographical and temporal trends in Late Quaternary fire histories of Fuego-Patagonia, South America. Quaternary Science Reviews 23(9-10):1079-1097. [DOI: 10.1016/j.quascirev.2003.11.002]","Geographical and temporal trends in Late Quaternary fire histories of Fuego-Patagonia, South America",Quaternary Science Reviews,23,9-10,1079-1097,,10.1016/j.quascirev.2003.11.002,,,,,,,,,,,,,,2015-02-24 23:04:08,2015-03-08 02:37:36
7759,1,1986,"Elias, S.A. 1986. Fossil insect evidence for late Pleistocene paleoenvironments of the Lamb Spring site, Colorado. Geoarchaeology : An International Journal 1(4):381-387.","Fossil insect evidence for late Pleistocene paleoenvironments of the Lamb Spring site, Colorado",Geoarchaeology : An International Journal,1,4,381-387,,,,,,,,,,,,,,,,2015-02-25 20:27:52,2017-04-03 17:10:29
7760,1,1994,"Klassen, R.W. 1994. Late Wisconsinan and Holocene history of southwestern Saskatchewan. Canadian Journal of Earth Science 31:1822-1837.",Late Wisconsinan and Holocene history of southwestern Saskatchewan,Canadian Journal of Earth Science,31,,1822-1837,,,,,,,,,,,,,,,,2015-03-01 22:51:53,2015-03-01 22:51:53
7761,1,2004,"Hoyle, B.G., D.C. Fisher, H.W. Borns, Jr., L.L. Churchill-Dickson, C.C. Dorion, and T.K. Weddle. 2004. Late Pleistocene mammoth remains from coastal Maine, USA. Quaternary Research 61(3):277-288. [DOI: 10.1016/j.yqres.2004.02.006]","Late Pleistocene mammoth remains from coastal Maine, USA",Quaternary Research,61,3,277-288,,10.1016/j.yqres.2004.02.006,,,,,,,,,,,,,,2015-03-02 19:46:59,2015-03-14 16:41:52
7762,2,1997,"Hebda, R.J., and G.B. Allen. 1997. Late Quaternary paleoecology of Brooks Peninsula.R.J. Hebda and J.C. Haggarty, editors. Brooks Peninsula: An Ice Age Refugium on Vancouver Island. Occasional Paper No 5. B.C. Parks.",Late Quaternary paleoecology of Brooks Peninsula,,,,,,,Brooks Peninsula: An Ice Age Refugium on Vancouver Island,,,,Occasional Paper No 5,,B.C. Parks,,,,,,,2015-03-03 22:26:24,2015-03-03 22:26:24
7765,1,1992,"Foster, D.R., T.M. Zebryk, P.K. Schoonmaker, and A.L. Lezberg. 1992. Post-settlement history of human land-use and vegetation dynamics of a hemlock woodlot in central New England. Journal of Ecology 80(4):773-786.",Post-settlement history of human land-use and vegetation dynamics of a hemlock woodlot in central New England,Journal of Ecology,80,4,773-786,,,,,,,,,,,,,,,,2015-03-03 23:56:42,2015-03-12 02:47:39
7766,6,1995,"Locke, S.M. 1995. A paleohydrologic model applied to the Holocene sediment stratigraphy of two lakes in north-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",A paleohydrologic model applied to the Holocene sediment stratigraphy of two lakes in north-central Minnesota,,,,,,,,,,,,,University of Minnesota,,Minneapolis,Minnesota,USA,,,2015-03-04 00:31:33,2015-03-23 23:08:43
7767,5,1982,"Southern, W. 1982. Late Quaternary vegetation and environments of Jackson''s Bog and the Monaro Tablelands, New South Wales. Master''s thesis. Monash University, Melbourne, Victoria, Australia.","Late Quaternary vegetation and environments of Jackson''s Bog and the Monaro Tablelands, New South Wales",,,,,,,,,,,,,Monash University,,Melbourne,Victoria,Australia,,,2015-03-04 01:17:21,2015-03-04 01:17:21
7768,7,1979,"Kershaw, A.P., D.L. Dunkerley, M. Quinn, and W. Southern. 1979. A Scientific and environmental investigation of Jackson''s Bog, Southern tablelands of N.S.W.. Report to National Parks and Wildlife Service of N.S.W.","A Scientific and environmental investigation of Jackson''s Bog, Southern tablelands of N.S.W.",,,,,,,,,,,Report to National Parks and Wildlife Service of N.S.W.,,,,,,,,,2015-03-04 01:39:41,2015-03-04 01:39:41
7769,7,1981,"Oakes, G.M. 1981. The Jacksons Bog peat deposits. GS 1981/596, Geological Survey of New South Wales.",The Jacksons Bog peat deposits,,,,,,,,,,,GS,1981/596,Geological Survey of New South Wales,,,,,,,2015-03-05 05:43:04,2015-03-05 05:43:04
7770,1,2008,"Teller, J.T., Z. Yang, M. Boyd, W.M. Buhay, K. McMillan, H.J. Kling, and A.M. Telka. 2008. Postglacial sedimentary record and history of West Hawk Lake crater, Manitoba. Journal of Paleolimnology 40(2):661-668.","Postglacial sedimentary record and history of West Hawk Lake crater, Manitoba",Journal of Paleolimnology,40,2,661-668,,,,,,,,,,,,,,,,2015-03-05 19:51:23,2015-03-05 19:51:23
7771,9,1997,"Hebda, R.J. 1997.",,,,,,,,,,,,,,,,,,,,,2015-03-05 23:18:25,2015-03-05 23:18:25
7772,1,2001,"Futyma, R.P., and N.G. Miller. 2001. Postglacial history of a marl fen: vegetational stability at Byron-Bergen Swamp, New York. Canadian Journal of Botany 79:1425-1438.","Postglacial history of a marl fen: vegetational stability at Byron-Bergen Swamp, New York",Canadian Journal of Botany,79,,1425-1438,,,,,,,,,,,,,,,,2015-03-06 00:43:47,2015-03-06 00:43:47
7773,2,2003,"Miller, N.G., and R.P. Futyma. 2003. Extending the paleobotanical records at the Hiscock Site, New York: Correlations among stratigraphic pollen assemblages from nearby lake and wetland basins. Pages 43-62 in The Hiscock Site: Late Pleistocene and Holocene Paleoecology and Archaeology of Western New York State. Bulletin of the Buffalo Society of Natural Sciences 37.","Extending the paleobotanical records at the Hiscock Site, New York: Correlations among stratigraphic pollen assemblages from nearby lake and wetland basins",,,,43-62,,,The Hiscock Site: Late Pleistocene and Holocene Paleoecology and Archaeology of Western New York State.,,,,Bulletin of the Buffalo Society of Natural Sciences,37,,,,,,,,2015-03-06 00:44:01,2015-03-06 00:44:01
7774,5,1979,"Young, M.A. 1979. A high resolution paleomagnetic study of recent sediments from Long Lake, Hennepin County, Minnesota. Master''s thesis. University of Minnesota, Minneapolis, Minnesota, USA.","A high resolution paleomagnetic study of recent sediments from Long Lake, Hennepin County, Minnesota",,,,,,,,,,,,,University of Minnesota,,Minneapolis,Minnesota,USA,,,2015-03-06 01:06:44,2015-03-06 01:06:44
7775,2,1999,"Westgate, J.A., P.H. von Bitter, N. Eyles, J.H. McAndrews, V. Timmer, and K.W.F. Howard. 1999. The physical setting: a story of changing environments through time. Pages 11-31 in B.I. Roots, D.A. Chant, and C.E. Heidenreich, editors. Special places: The changing ecosystems of the Toronto Region. Royal Canadian Institute UBC Press, Vancouver, British Columbia, Canada.",The physical setting: a story of changing environments through time.,,,,11-31,,,Special places: The changing ecosystems of the Toronto Region,,,,,,Royal Canadian Institute UBC Press,,Vancouver,British Columbia,Canada,,,2015-03-06 23:27:11,2015-03-06 23:27:11
7776,6,2006,"Spigel, K.M. 2006. Erosion and sedimentation history of Emrick Lake, south-central Wisconsin, in response to Holocene environmental change. Doctoral dissertation. University of Wisconsin, Madison, Wisconsin, USA.","Erosion and sedimentation history of Emrick Lake, south-central Wisconsin, in response to Holocene environmental change",,,,,,,,,,,,,University of Wisconsin,,Madison,Wisconsin,USA,,,2015-03-06 23:31:23,2015-03-06 23:31:23
7777,1,2003,"Huber, U.M., and V. Markgraf. 2003. European impact on fire regimes and vegetation dynamics at the steppe-forest ecotone of southern Patagonia. The Holocene 13(4):567-579. 10.1191/0959683603hl647rp.",European impact on fire regimes and vegetation dynamics at the steppe-forest ecotone of southern Patagonia,The Holocene,13,4,567-579,,,,,,,,,,10.1191/0959683603hl647rp,,,,,,2015-03-07 16:48:31,2015-03-07 16:48:31
7778,1,2010,"Markgraf, V., and U.M. Huber. 2010. Late and postglacial vegetation and fire history in Southern Patagonia and Tierra del Fuego. Palaeogeography, Palaeoclimatology, Palaeoecology 297(2):351-366. [DOI: 10.1016/j.palaeo.2010.08.013]",Late and postglacial vegetation and fire history in Southern Patagonia and Tierra del Fuego,"Palaeogeography, Palaeoclimatology, Palaeoecology",297,2,351-366,,10.1016/j.palaeo.2010.08.013,,,,,,,,,,,,,,2015-03-07 22:12:35,2015-03-07 22:12:35
7779,2,2003,"Huber, U.M., and V. Markgraf. 2003. Holocene fire frequency and climate change at Rio Rubens Bog, southern Patagonia. Pages 357-380 in T.T. Veblen, W.L. Baker, G. Montenegro, and T.W. Swetnam, editors. Fire and Climatic Change in Temperate Ecosystems of the Western Americas. Ecological Studies 160. Springer, New York, New York, USA. [DOI: 10.1007/0-387-21710-X_13]","Holocene fire frequency and climate change at Rio Rubens Bog, southern Patagonia",,,,357-380,,10.1007/0-387-21710-X_13,Fire and Climatic Change in Temperate Ecosystems of the Western Americas,,,,Ecological Studies,160,Springer,,New York,New York,USA,,,2015-03-08 02:47:12,2015-03-08 02:47:12
7780,1,1996,"Bhiry, N., and L. Filion. 1996. Mid-Holocene Hemlock Decline in Eastern North America Linked with Phytophagous Insect Activity. Quaternary Research 45:312-320.",Mid-Holocene Hemlock Decline in Eastern North America Linked with Phytophagous Insect Activity,Quaternary Research,45,,312-320,,,,,,,,,,,,,,,,2015-03-10 18:48:08,2015-03-10 18:48:08
7781,1,2007,"Markgraf, V., C. Whitlock, and S. Haberle. 2007. Vegetation and fire history during the last 18,000 cal yr B.P. in Southern Patagonia: Mallín Pollux, Coyhaique, Province Aisén (45°41′30″ S, 71°50′30″ W, 640 m elevation). Palaeogeography, Palaeoclimatology, Palaeoecology 254(3-4):492-507. [DOI: 10.1016/j.palaeo.2007.07.008]","Vegetation and fire history during the last 18,000 cal yr B.P. in Southern Patagonia: Mallín Pollux, Coyhaique, Province Aisén (45°41′30″ S, 71°50′30″ W, 640 m elevation)","Palaeogeography, Palaeoclimatology, Palaeoecology",254,3-4,492-507,,10.1016/j.palaeo.2007.07.008,,,,,,,,,,,,,,2015-03-11 03:41:12,2015-03-11 03:41:12
7782,7,2010,"Parltow, M. 2010. Faunal Report for Olga Lake Sites KAR-251 and KAR-262. Alutiiq Museum, Kodiak, AK.",Faunal Report for Olga Lake Sites KAR-251 and KAR-262,,,,,,,,,,,,,Alutiiq Museum,,Kodiak,AK,,,,2015-03-11 19:51:36,2015-03-11 19:51:36
7783,1,2011,"Carter, J.G., C.R. Altaba, L.C. Anderson, R. Araujo, A.S. Biakov, A.S. Biakov, A.E. Bogan, D.C. Campbell, M. Campbell, C. Jin-hua, J.C.W. Cope, G. Delvene, H.H. Dijkstra, F. Zong-jie, R.N. Gardner, V.A. Gavrilova, I.A. Goncharova, P.J. Harries, J.H. Hartman, M. Hautmann, W.R. Hoeh, J. Hylleberg, J. Bao-yu, P. Johnston, L. Kirkendale, K. Kleemann, J. Koppka, J. Kříž, D. Machado, N. Malchus, A. Márquez-Aliaga, J.-P. Masse, C.A. McRoberts, P.U. Middelfart, S. Mitchell, L.A. Nevesskaja, S. Özer, J. Pojeta, Jr., I.V. Polubotko, J.M. Pons, S. Popov, T. Sánchez, A.F. Sartori, R.W. Scott, I.I. Sey, J.H. Signorelli, V.V. Silantiev, P.W. Skelton, T. Steuber, J.B. Waterhouse, G.L. Wingard, and T. Yancey. 2011. A Synoptical Classification of the Bivalvia (Mollusca). Paleontological Contributions 4:1-47.",A Synoptical Classification of the Bivalvia (Mollusca),Paleontological Contributions,4,,1-47,,,,,,,,,,,,,,,,2015-03-11 20:01:38,2015-03-11 20:01:38
7784,7,2008,"Hendy, A.J.W., D.P. Buick, K.V. Bulinski, C.A. Ferguson, and A.I. Miller. 2008. Unpublished census data from Atlantic coastal plain and circum-Caribbean Neogene assemblages and taxonomic opinions.",Unpublished census data from Atlantic coastal plain and circum-Caribbean Neogene assemblages and taxonomic opinions,,,,,,,,,,,,,,,,,,,,2015-03-11 20:17:31,2015-03-11 20:17:31
7785,1,1996,"Clague, J.J., and R.W. Mathewes. 1996. Neoglaciation, glacier-dammed lakes, and vegetation change in northwestern British Columbia, Canada. Arctic and Alpine Research 28:10-24.","Neoglaciation, glacier-dammed lakes, and vegetation change in northwestern British Columbia, Canada",Arctic and Alpine Research,28,,10-24,,,,,,,,,,,,,,,,2015-03-11 21:53:09,2015-03-18 00:46:10
7786,1,2004,"Clague, J.J., B. Wohlfarth, J. Ayotte, M. Eriksson, I. Hutchinson, R.W. Mathewes, I.R. Walker, and L. Walker. 2004. Late Holocene environmental change at treeline in the northern Coast Mountains, British Columbia, Canada. Quaternary Science Reviews 23:2413-2431.","Late Holocene environmental change at treeline in the northern Coast Mountains, British Columbia, Canada",Quaternary Science Reviews,23,,2413-2431,,,,,,,,,,,,,,,,2015-03-11 21:56:18,2015-03-18 00:46:50
7787,1,2007,"Lindbladh, M., W.W. Oswald, D.R. Foster, E.K. Faison, J. Hou, and Y. Huang. 2007. A late-glacial transition from Picea glauca to Picea mariana in southern New England. Quaternary Research 67(3):502-508. [DOI: 10.1016/j.yqres.2007.01.010]",A late-glacial transition from Picea glauca to Picea mariana in southern New England,Quaternary Research,67,3,502-508,,10.1016/j.yqres.2007.01.010,,,,,,,,,,,,,,2015-03-11 22:48:51,2015-03-12 02:35:16
7788,6,1978,"Cawker, K.B. 1978. Historical dynamics of Artemisia Tridentata Nutt. in southern British Columbia. Doctoral dissertation. Simon Fraser University, Burnaby, British Columbia, Canada.",Historical dynamics of Artemisia Tridentata Nutt. in southern British Columbia,,,,,,,,,,,,,Simon Fraser University,,Burnaby,British Columbia,Canada,,,2015-03-11 23:03:25,2015-03-24 00:14:08
7789,1,1983,"Cawker, K.B. 1983. Fire history and grassland vegetation change: three pollen diagrams from southern British Columbia. Canadian Journal of Botany 61:1126-1139.",Fire history and grassland vegetation change: three pollen diagrams from southern British Columbia,Canadian Journal of Botany,61,,1126-1139,,,,,,,,,,,,,,,,2015-03-11 23:03:39,2015-03-11 23:03:39
7790,1,2005,"Donders, T.H., F. Wagner, and H. Visscher. 2005. Quantification strategies for human-induced and natural hydrological changes in wetland vegetation, southern Florida, USA. Quaternary Research 64(3):333-342. [DOI: 10.1016/j.yqres.2005.08.016]","Quantification strategies for human-induced and natural hydrological changes in wetland vegetation, southern Florida, USA",Quaternary Research,64,3,333-342,,10.1016/j.yqres.2005.08.016,,,,,,,,,,,,,,2015-03-12 18:25:06,2020-02-15 04:47:49
7791,1,2005,"Donders, T.H., F. Wagner, D.L. Dilcher, and H. Visscher. 2005. Mid- to late-Holocene El Nino-Southern Oscillation dynamics reflected in the subtropical terrestrial realm. Proceedings of the National Academy of Sciences of the United States of America 102(31):10904-10908. [DOI: 10.1073/pnas.0505015102]",Mid- to late-Holocene El Nino-Southern Oscillation dynamics reflected in the subtropical terrestrial realm,Proceedings of the National Academy of Sciences of the United States of America,102,31,10904-10908,,10.1073/pnas.0505015102,,,,,,,,,,,,,,2015-03-12 18:26:27,2020-02-15 17:19:32
7792,0,2007,"Graham, R.W. 2007. Stratigraphy and paleontology of Friesenhahn Cave, Bexar County, Texas. Late Quaternary Cave Sites of Central Texas: Field Trip Guide Book, 67th Annual Meeting of the Society of Vertebrate Paleontology. pp. 27-45.","Stratigraphy and paleontology of Friesenhahn Cave, Bexar County, Texas. Late Quaternary Cave Sites of Central Texas: Field Trip Guide Book, 67th Annual Meeting of the Society of Vertebrate Paleontology. pp. 27-45",,,,,,,,,,,,,,,,,,,,2015-03-12 18:36:11,2015-03-12 18:37:35
7793,5,1991,"Keenan, T.J. 1991. Late-Quaternary history of Black Spruce and grasslands in southwest Yukon Territory. Master''s thesis. University of New Brunswick, Fredericton, New Brunsiwck, Canada.",Late-Quaternary history of Black Spruce and grasslands in southwest Yukon Territory,,,,,,,,,,,,,University of New Brunswick,,Fredericton,New Brunsiwck,Canada,,,2015-03-12 18:38:26,2015-03-19 19:42:39
7794,1,1992,"Keenan, T.J., and L.C. Cwynar. 1992. Late Quaternary history of black spruce and grasslands in southwest Yukon Territory. Canadian Journal of Botany 70:1336-1345.",Late Quaternary history of black spruce and grasslands in southwest Yukon Territory,Canadian Journal of Botany,70,,1336-1345,,,,,,,,,,,,,,,,2015-03-12 18:38:45,2015-03-12 18:38:45
